provider,candidate_status,voice_quality,expressiveness,continuity,nigerian_african,languages,perf_control,latency,reliability,rights,privacy,cost,api_fit,overall_weighted,evidence_note
ElevenLabs,SHORTLIST,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,3,4,4,NOT_EXECUTED,NOT_EXECUTED,3,3,2,4,INSUFFICIENT_EVIDENCE,"Broadest documented expressive-control surface (style/stability sliders, v3 emotion tags) and an explicit African-accent voice category; but no en-NG locale voices the way Azure has, retention is 2-3yr by default (opt-out exists), perpetual training license on submitted content is a real caveat, and API-tier pricing is materially higher per character than cloud-vendor TTS. No listening test performed."
OpenAI,SHORTLIST,NOT_HUMAN_VERIFIED,3,NOT_HUMAN_VERIFIED,2,4,3,4,5,4,4,4,4,INSUFFICIENT_EVIDENCE,"Only provider with credentials in this environment; REAL 10/10 successful benchmark run, 0.7-2.7s latency for short/medium lines, real ffprobe-clean 24kHz mono PCM output, measured cost matched published pricing almost exactly. No dedicated Nigerian-locale voice; voices are English-optimized; custom voice cloning is sales-gated, not self-serve API."
Cartesia,SHORTLIST,NOT_HUMAN_VERIFIED,4,NOT_HUMAN_VERIFIED,2,3,3,5,NOT_EXECUTED,3,4,4,4,INSUFFICIENT_EVIDENCE,"Fastest published TTFA in the category (real-world ~166-190ms per third-party benchmarks, not verified by us), SOC2/HIPAA/optional zero-retention, instant voice cloning gated to Growth plan+. No African/Nigerian-specific voice or locale claim found in official docs."
Google Cloud Text-to-Speech,SHORTLIST,NOT_HUMAN_VERIFIED,2,NOT_HUMAN_VERIFIED,2,5,2,NOT_EXECUTED,NOT_EXECUTED,4,4,5,3,INSUFFICIENT_EVIDENCE,"Largest documented language/voice catalog (300+ voices, 50+ languages) and cheapest list pricing at Standard/WaveNet tier; data-logging is opt-in only and customer retains data ownership. Weakest documented expressive/performance-direction controls among cloud vendors (SSML only, no natural-language style prompting)."
Microsoft Azure AI Speech,SHORTLIST,NOT_HUMAN_VERIFIED,3,NOT_HUMAN_VERIFIED,4,5,3,NOT_EXECUTED,NOT_EXECUTED,4,4,5,3,INSUFFICIENT_EVIDENCE,"ONLY provider found with explicit, officially-labeled Nigerian English (en-NG) voices (en-NG-EzinneNeural F, en-NG-AbeoNeural M) as of retrieval date -- real product-fit signal for Raivstream's Nigerian-market requirement. Custom Neural Voice available for brand/character voices but with a large fixed training cost ($52/compute-hr, up to ~$4,992/training run) plus hourly hosting."
Amazon Polly,SHORTLIST,NOT_HUMAN_VERIFIED,2,NOT_HUMAN_VERIFIED,1,4,2,NOT_EXECUTED,NOT_EXECUTED,4,4,5,3,INSUFFICIENT_EVIDENCE,"Cheapest cloud-vendor list price at Standard/Neural tiers; official AWS statement that Polly does not retain text or audio content; no voice cloning offered at all; no African/Nigerian locale found in official documentation; weakest performance-direction surface (SSML only)."
PlayHT,EXCLUDE,,,,,,,,,,,,,DISQUALIFIED,"Service was shut down; Meta acquired the PlayAI team in July 2025, the public API went offline by late July 2025, and Play.ht ceased operating December 31, 2025. Not a viable candidate at any score -- included only for completeness against the brief's named list."
Resemble AI,SECONDARY,NOT_HUMAN_VERIFIED,3,NOT_HUMAN_VERIFIED,2,4,3,NOT_EXECUTED,NOT_EXECUTED,3,3,4,3,INSUFFICIENT_EVIDENCE,"Simple per-second pay-as-you-go pricing with no subscription minimum; cross-lingual voice cloning across 51+ languages is a distinctive capability; voice-clone add-on is billed per-voice per-month separately from usage, which complicates a clean per-minute cost model."
Deepgram Aura-2,WATCHLIST,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,NOT_EVALUATED,2,NOT_EVALUATED,NOT_EXECUTED,NOT_EXECUTED,NOT_EVALUATED,NOT_EVALUATED,4,3,INSUFFICIENT_EVIDENCE,"Identified during Section 1 market sweep as a credible newer entrant (sub-200ms published latency, ~$30/1M chars); not deep-researched this round -- commercial-rights and privacy documentation not yet reviewed. Flagged for a future evaluation pass, not scored on dimensions we did not research."
Rime AI,WATCHLIST,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,NOT_HUMAN_VERIFIED,NOT_EVALUATED,3,NOT_EVALUATED,NOT_EXECUTED,NOT_EXECUTED,NOT_EVALUATED,NOT_EVALUATED,PRICING_NOT_CONFIRMED,3,INSUFFICIENT_EVIDENCE,"Identified during Section 1 market sweep for unusually broad demographic voice diversity (200+ voices spanning regional/ethnic/age categories) and sub-100ms published latency; official per-character pricing was not confirmed from a primary source this round -- do not treat any cost figure for Rime as authoritative. Flagged for a future evaluation pass."
